prev,dens,urb,rur,y
2474,303,14610410,34966693,2532
2532,303,14610410,34966693,2602
2602,303,14610410,34966693,2647
2647,303,14610410,34966693,2709
2709,303,14610410,34966693,2757
2757,303,14610410,34966693,2823
2823,303,14610410,34966693,3110
3110,303,14610410,34966693,3171
3171,303,14610410,34966693,3171
3171,303,14610410,34966693,3251
3251,303,14610410,34966693,3436
3436,303,14610410,34966693,3569
3569,303,14610410,34966693,3679
3679,303,14610410,34966693,3783
3783,303,14610410,34966693,3898
3898,303,14610410,34966693,4080
4080,303,14610410,34966693,4223
4223,303,14610410,34966693,4303
4303,303,14610410,34966693,4510
4510,303,14610410,34966693,4708
4708,303,14610410,34966693,4851
4851,303,14610410,34966693,5070
5070,303,14610410,34966693,5269
5269,303,14610410,34966693,5429
5429,303,14610410,34966693,5680
5680,303,14610410,34966693,5965
5965,303,14610410,34966693,6163
6163,303,14610410,34966693,6456
6456,303,14610410,34966693,6841
6841,303,14610410,34966693,7071
7071,303,14610410,34966693,7518
7518,303,14610410,34966693,7961
7961,303,14610410,34966693,8452
8452,303,14610410,34966693,8999
8999,303,14610410,34966693,9372
9372,303,14610410,34966693,10002
10002,303,14610410,34966693,10331
10331,303,14610410,34966693,10884
10884,303,14610410,34966693,11489
11489,303,14610410,34966693,12285
12285,303,14610410,34966693,13241
13241,303,14610410,34966693,13891
13891,303,14610410,34966693,14595
14595,303,14610410,34966693,15252
15252,303,14610410,34966693,16097
16097,303,14610410,34966693,16934
16934,303,14610410,34966693,17699
17699,303,14610410,34966693,18697
18697,303,14610410,34966693,20019
20019,303,14610410,34966693,21197
21197,303,14610410,34966693,22259
22259,303,14610410,34966693,23814
23814,303,14610410,34966693,25422
25422,303,14610410,34966693,27235
27235,303,14610410,34966693,29168
29168,303,14610410,34966693,31103
31103,303,14610410,34966693,33019
33019,303,14610410,34966693,35451
35451,303,14610410,34966693,38044
38044,303,14610410,34966693,40646
40646,303,14610410,34966693,44609
44609,303,14610410,34966693,49650
49650,303,14610410,34966693,53724
53724,303,14610410,34966693,58668
58668,303,14610410,34966693,64713
64713,303,14610410,34966693,72711
72711,303,14610410,34966693,80858
80858,303,14610410,34966693,88671
88671,303,14610410,34966693,96298
96298,303,14610410,34966693,102349
102349,303,14610410,34966693,110297
110297,303,14610410,34966693,120390
120390,303,14610410,34966693,130557
130557,303,14610410,34966693,140933
140933,303,14610410,34966693,150209
150209,303,14610410,34966693,158764
158764,303,14610410,34966693,166586
166586,303,14610410,34966693,176333
176333,303,14610410,34966693,186461
186461,303,14610410,34966693,196789
196789,303,14610410,34966693,206960
206960,303,14610410,34966693,217040
217040,303,14610410,34966693,227860
227860,303,14610410,34966693,235525
235525,303,14610410,34966693,244549
244549,303,14610410,34966693,254146
254146,303,14610410,34966693,264142
