Active,Population Density,Urban Population,Rural Population,Y
1158,303,14610410,34966693,61
1105,303,14610410,34966693,0
1056,303,14610410,34966693,80
1067,303,14610410,34966693,185
1150,303,14610410,34966693,133
1220,303,14610410,34966693,110
1268,303,14610410,34966693,104
1341,303,14610410,34966693,115
1413,303,14610410,34966693,182
1546,303,14610410,34966693,143
1613,303,14610410,34966693,80
1654,303,14610410,34966693,207
1817,303,14610410,34966693,198
1951,303,14610410,34966693,143
2031,303,14610410,34966693,219
2191,303,14610410,34966693,199
2292,303,14610410,34966693,160
2301,303,14610410,34966693,251
2495,303,14610410,34966693,285
2688,303,14610410,34966693,198
2765,303,14610410,34966693,293
3052,303,14610410,34966693,385
3244,303,14610410,34966693,230
3340,303,14610410,34966693,447
3637,303,14610410,34966693,443
3948,303,14610410,34966693,491
4240,303,14610410,34966693,547
4562,303,14610410,34966693,373
4766,303,14610410,34966693,630
5284,303,14610410,34966693,329
5428,303,14610410,34966693,553
5760,303,14610410,34966693,605
6145,303,14610410,34966693,796
6648,303,14610410,34966693,956
7164,303,14610410,34966693,650
7479,303,14610410,34966693,704
7897,303,14610410,34966693,657
8071,303,14610410,34966693,845
8586,303,14610410,34966693,837
9096,303,14610410,34966693,765
9473,303,14610410,34966693,998
10043,303,14610410,34966693,1322
10860,303,14610410,34966693,1178
11200,303,14610410,34966693,1062
10894,303,14610410,34966693,1555
11383,303,14610410,34966693,1608
11936,303,14610410,34966693,1813
12533,303,14610410,34966693,1933
13428,303,14610410,34966693,1935
14274,303,14610410,34966693,1916
15144,303,14610410,34966693,2432
16621,303,14610410,34966693,2593
18159,303,14610410,34966693,2602
19814,303,14610410,34966693,3963
22260,303,14610410,34966693,5041
26118,303,14610410,34966693,4074
28800,303,14610410,34966693,4944
32336,303,14610410,34966693,6045
31763,303,14610410,34966693,7998
34272,303,14610410,34966693,8147
39990,303,14610410,34966693,7813
44431,303,14610410,34966693,7627
48956,303,14610410,34966693,6051
51701,303,14610410,34966693,7948
56527,303,14610410,34966693,10093
63771,303,14610410,34966693,10167
69252,303,14610410,34966693,10376
75720,303,14610410,34966693,9276
72188,303,14610410,34966693,8555
74404,303,14610410,34966693,7822
76377,303,14610410,34966693,9747
79104,303,14610410,34966693,10128
80426,303,14610410,34966693,10328
82166,303,14610410,34966693,10171
84654,303,14610410,34966693,10080
85486,303,14610410,34966693,10820
87112,303,14610410,34966693,7665
87773,303,14610410,34966693,9024
87597,303,14610410,34966693,9597
90425,303,14610410,34966693,9996
90780,303,14610410,34966693,8943
89907,303,14610410,34966693,8732
88138,303,14610410,34966693,8012
85945,303,14610410,34966693,6780
84777,303,14610410,34966693,9652
85130,303,14610410,34966693,9742
86725,303,14610410,34966693,9393
87177,303,14610410,34966693,9544
87803,303,14610410,34966693,10276
89389,303,14610410,34966693,7895
89742,303,14610410,34966693,8601
89516,303,14610410,34966693,9927
89932,303,14610410,34966693,10830
92208,303,14610410,34966693,10621
94209,303,14610410,34966693,10526
96191,303,14610410,34966693,10548
97681,303,14610410,34966693,10603
99129,303,14610410,34966693,10004
100276,303,14610410,34966693,10368
101210,303,14610410,34966693,10392
103076,303,14610410,34966693,10199
103521,303,14610410,34966693,10776
102067,303,14610410,34966693,10825
100880,303,14610410,34966693,10794
99689,303,14610410,34966693,8368
97932,303,14610410,34966693,10601
96769,303,14610410,34966693,10418
97271,303,14610410,34966693,10175
97338,303,14610410,34966693,9999
96191,303,14610410,34966693,9901
95733,303,14610410,34966693,9536
95072,303,14610410,34966693,7956
93204,303,14610410,34966693,8846
92353,303,14610410,34966693,8835
1,17,317369,1066358,0
1,17,317369,1066358,0
1,17,317369,1066358,0
1,17,317369,1066358,0
1,17,317369,1066358,0
1,17,317369,1066358,0
1,17,317369,1066358,0
1,17,317369,1066358,0
1,17,317369,1066358,0
1,17,317369,1066358,0
1,17,317369,1066358,0
1,17,317369,1066358,0
1,17,317369,1066358,0
1,17,317369,1066358,0
1,17,317369,1066358,0
1,17,317369,1066358,0
1,17,317369,1066358,0
1,17,317369,1066358,0
0,17,317369,1066358,0
0,17,317369,1066358,0
0,17,317369,1066358,0
0,17,317369,1066358,0
0,17,317369,1066358,0
0,17,317369,1066358,0
0,17,317369,1066358,0
0,17,317369,1066358,0
0,17,317369,1066358,0
0,17,317369,1066358,0
0,17,317369,1066358,0
0,17,317369,1066358,0
0,17,317369,1066358,0
0,17,317369,1066358,0
0,17,317369,1066358,0
0,17,317369,1066358,0
0,17,317369,1066358,0
0,17,317369,1066358,0
0,17,317369,1066358,0
0,17,317369,1066358,0
0,17,317369,1066358,0
0,17,317369,1066358,0
0,17,317369,1066358,0
0,17,317369,1066358,0
0,17,317369,1066358,0
0,17,317369,1066358,0
0,17,317369,1066358,0
0,17,317369,1066358,0
0,17,317369,1066358,0
0,17,317369,1066358,0
0,17,317369,1066358,0
0,17,317369,1066358,0
0,17,317369,1066358,0
0,17,317369,1066358,0
0,17,317369,1066358,1
1,17,317369,1066358,0
1,17,317369,1066358,0
1,17,317369,1066358,1
2,17,317369,1066358,0
2,17,317369,1066358,1
3,17,317369,1066358,0
3,17,317369,1066358,18
21,17,317369,1066358,0
21,17,317369,1066358,16
37,17,317369,1066358,4
41,17,317369,1066358,3
44,17,317369,1066358,2
46,17,317369,1066358,4
50,17,317369,1066358,0
50,17,317369,1066358,6
56,17,317369,1066358,0
55,17,317369,1066358,4
57,17,317369,1066358,6
63,17,317369,1066358,20
83,17,317369,1066358,4
84,17,317369,1066358,0
84,17,317369,1066358,4
88,17,317369,1066358,4
92,17,317369,1066358,4
93,17,317369,1066358,0
92,17,317369,1066358,32
121,17,317369,1066358,0
120,17,317369,1066358,4
118,17,317369,1066358,9
126,17,317369,1066358,10
120,17,317369,1066358,2
121,17,317369,1066358,12
129,17,317369,1066358,5
122,17,317369,1066358,5
121,17,317369,1066358,5
125,17,317369,1066358,4
128,17,317369,1066358,4
128,17,317369,1066358,0
128,17,317369,1066358,57
176,17,317369,1066358,7
182,17,317369,1066358,10
190,17,317369,1066358,1
176,17,317369,1066358,6
169,17,317369,1066358,11
176,17,317369,1066358,15
180,17,317369,1066358,33
213,17,317369,1066358,6
214,17,317369,1066358,18
219,17,317369,1066358,28
240,17,317369,1066358,75
306,17,317369,1066358,0
306,17,317369,1066358,81
387,17,317369,1066358,66
431,17,317369,1066358,41
373,17,317369,1066358,90
455,17,317369,1066358,50
502,17,317369,1066358,68
552,17,317369,1066358,91
632,17,317369,1066358,42
654,17,317369,1066358,65
661,17,317369,1066358,70
695,17,317369,1066358,32
650,17,317369,1066358,81
662,17,317369,1066358,91
710,17,317369,1066358,80
730,17,317369,1066358,74
654,17,317369,1066358,107
670,17,317369,1066358,82
701,17,317369,1066358,25
699,17,317369,1066358,60
692,17,317369,1066358,32
682,17,317369,1066358,65
642,17,317369,1066358,93
700,17,317369,1066358,101
720,17,317369,1066358,68
684,17,317369,1066358,38
670,17,317369,1066358,76
636,17,317369,1066358,96
690,17,317369,1066358,103
768,17,317369,1066358,82
790,17,317369,1066358,95
852,17,317369,1066358,51
882,17,317369,1066358,43
888,17,317369,1066358,40
843,17,317369,1066358,134
921,17,317369,1066358,75
923,17,317369,1066358,116
968,17,317369,1066358,60
996,17,317369,1066358,97
990,17,317369,1066358,40
961,17,317369,1066358,49
880,17,317369,1066358,100
899,17,317369,1066358,143
987,17,317369,1066358,78
1007,17,317369,1066358,112
1031,17,317369,1066358,132
1118,17,317369,1066358,157
1205,17,317369,1066358,78
1220,17,317369,1066358,100
1226,17,317369,1066358,148
1278,17,317369,1066358,214
1400,17,317369,1066358,201
1488,17,317369,1066358,139
1525,17,317369,1066358,86
1520,17,317369,1066358,180
1576,17,317369,1066358,222
1670,17,317369,1066358,143
1630,17,317369,1066358,127
1658,17,317369,1066358,153
1689,17,317369,1066358,150
1712,17,317369,1066358,146
1732,17,317369,1066358,177
1756,17,317369,1066358,168
1795,17,317369,1066358,-6465
1,397,4398542,26807034,4
5,397,4398542,26807034,11
16,397,4398542,26807034,8
24,397,4398542,26807034,2
26,397,4398542,26807034,0
26,397,4398542,26807034,0
26,397,4398542,26807034,1
27,397,4398542,26807034,1
28,397,4398542,26807034,1
29,397,4398542,26807034,0
28,397,4398542,26807034,0
28,397,4398542,26807034,2
30,397,4398542,26807034,0
30,397,4398542,26807034,2
32,397,4398542,26807034,0
27,397,4398542,26807034,2
29,397,4398542,26807034,0
25,397,4398542,26807034,0
22,397,4398542,26807034,0
17,397,4398542,26807034,0
15,397,4398542,26807034,0
15,397,4398542,26807034,0
15,397,4398542,26807034,1
16,397,4398542,26807034,0
16,397,4398542,26807034,0
16,397,4398542,26807034,0
8,397,4398542,26807034,2
10,397,4398542,26807034,0
10,397,4398542,26807034,4
12,397,4398542,26807034,0
12,397,4398542,26807034,1
